Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2024,17135,17229,17104.85,17174,3005367489,20630.56
02-JAN-2024,17214.95,17238,16961.25,17148.1,2456015603,24277.2
03-JAN-2024,17176.85,17232.3,17082.6,17189.95,1764537582,21760.76
04-JAN-2024,17264.7,17454.9,17259.4,17443.75,1523982033,23253.88
05-JAN-2024,17525.15,17575.65,17376.55,17499.65,2126225718,24231.3
08-JAN-2024,17550.85,17560.25,17334.45,17350.55,2015873594,22227.32
09-JAN-2024,17472.85,17517.95,17356.25,17382,1877882513,26319.89
10-JAN-2024,17411.85,17433.5,17251.65,17425.35,1699922723,23340.02
11-JAN-2024,17492.35,17536.4,17449.2,17500.5,1315434787,28012.18
12-JAN-2024,17583.3,17589.55,17511.95,17563.85,1212587120,22512.95
15-JAN-2024,17659.55,17685.8,17537.25,17656.35,1651910396,29371.62
16-JAN-2024,17706.95,17738.25,17453.5,17599.8,2274738364,31371.53
17-JAN-2024,17455.7,17564.35,17331.5,17413.15,2043479248,31310.56
18-JAN-2024,17386.5,17431.5,16978.05,17409.45,1837157949,35326.89
19-JAN-2024,17546.9,17687.2,17508.5,17670.85,1733489616,37812.46
20-JAN-2024,17799.1,17836.45,17688.7,17724.7,1106727455,18396.15
23-JAN-2024,17857.9,17868,17110.05,17204.35,2088556184,38230.02
24-JAN-2024,17240.95,17518.35,17033.4,17495.55,1984366717,34446.53
25-JAN-2024,17546.7,17559.25,17334.5,17413.75,1527267340,26990.04
29-JAN-2024,17490.35,17678.9,17459.2,17669.7,1530514943,28673.17
30-JAN-2024,17756.65,17782.05,17582.95,17607.15,1501682911,26586.31
31-JAN-2024,17636.9,17893.95,17627.6,17884.7,1208221725,26657.47
01-FEB-2024,17937.1,17937.15,17668,17782.8,1581996447,30034.43
02-FEB-2024,17863.05,17976.7,17844.1,17873.35,1910785836,32726.97
05-FEB-2024,17940.15,18032.65,17829.15,17871.55,2161843859,36081.46
06-FEB-2024,17955.65,18092.95,17853.5,18082,2385300930,34459.89
07-FEB-2024,18208.35,18252.7,18076.35,18203.35,3226252679,31316.82
08-FEB-2024,18341.5,18345.1,18133.6,18161.85,3243952551,34357.24
09-FEB-2024,18200.45,18201.35,17715.35,18003.1,3201753698,35449.86
12-FEB-2024,18090.4,18091.8,17520.6,17572.25,2195574251,32274.73
13-FEB-2024,17598.15,17645.9,17293.6,17622.65,2014464338,29114.82
14-FEB-2024,17442.6,17828.75,17371.25,17773.85,1754462254,24459.78
15-FEB-2024,17887.35,17966.4,17868.95,17941.8,1639660797,25788.03
16-FEB-2024,18027.25,18111,17988.1,18081.7,1442414239,26401.59
19-FEB-2024,18193.75,18234.1,18136.65,18166.65,1424503155,24575.61
20-FEB-2024,18184.95,18229.3,18085,18137.4,1366080554,22392.59
21-FEB-2024,18201.75,18216.45,17896.7,17939.45,1667681924,25185.71
22-FEB-2024,18019.4,18103.5,17782.1,18082.9,1818128654,21267.07
23-FEB-2024,18165.9,18222.4,18104.55,18149.05,2777200093,23516.48
26-FEB-2024,18168.45,18196.2,18012.5,18093,1628353803,28020.65
27-FEB-2024,18114.3,18183.55,18014.15,18074.3,1680803635,22681.89
28-FEB-2024,18117.25,18126.15,17708.3,17749,2658799162,24202.95
29-FEB-2024,17749,17882.8,17559.9,17831.1,2838189606,43232.3
01-MAR-2024,17925.05,17985.75,17890.75,17974.65,1627960905,23006.82
02-MAR-2024,18049.65,18122.7,18034.85,18093,167794169,2148.74
04-MAR-2024,18138.8,18145.8,18027.8,18110.05,1322286017,28071.37
05-MAR-2024,18121.6,18156,18023.55,18065.2,1232514649,21568.82
06-MAR-2024,18094.6,18102.3,17700.2,17950,1557705361,26574.93
07-MAR-2024,17978.35,18061.95,17956.85,17995.7,917082399,22433.82
11-MAR-2024,18079.1,18081.05,17884.5,17911.75,964186866,22759.65
12-MAR-2024,17937.3,17957,17600.4,17685.6,1136735842,22141.73
13-MAR-2024,17720.55,17757.2,16838.2,16948.25,2235421481,29908.77
14-MAR-2024,16854.9,17341.5,16717.95,17308.75,2052878557,26109.87
15-MAR-2024,17315.9,17399.9,17031.95,17254.2,1853760203,32426.72
18-MAR-2024,17250.2,17306.3,17068,17215.85,1041042917,20856.6
19-MAR-2024,17227.45,17231.1,16954.95,17022.65,994589013,18948.92
20-MAR-2024,17085.05,17125.45,16832.7,17011.75,1009904352,18429.27
21-MAR-2024,17186.65,17407.55,17184.95,17396.3,910916571,19565.2
22-MAR-2024,17386,17518.05,17343.9,17502.8,1373773925,20817.08
26-MAR-2024,17459.7,17680.85,17457.55,17664.35,1161005203,25216.76
27-MAR-2024,17725.25,17778.4,17672.15,17685.85,1239452721,25366.94
28-MAR-2024,17783.15,17814.25,17676.3,17766,1245518128,21869.72
01-APR-2024,17902.85,18101.75,17882.9,18084.7,1311916228,20979.69
02-APR-2024,18151.1,18300.35,18088.35,18286.35,1469748851,26092.91
03-APR-2024,18272.85,18400,18224.7,18378.6,1600158591,27316.12
04-APR-2024,18503.4,18523.65,18330.8,18385.95,1835874811,22049.63
05-APR-2024,18398.8,18500.8,18369.75,18473.25,1511760873,21741.06
08-APR-2024,18593.85,18594.9,18428.9,18511.15,1528850272,25191.09
09-APR-2024,18599,18606.3,18411.4,18465.55,1051858398,21664.66
10-APR-2024,18529.6,18647.25,18486.75,18625.4,1324779773,23400.96
12-APR-2024,18620.8,18722.05,18517,18534.7,1941100875,24252.18
15-APR-2024,18206.05,18392.95,18062.4,18283.2,1709385038,23114.95
16-APR-2024,18185.2,18373.45,18133,18260.6,1850748643,20623.92
18-APR-2024,18362.8,18445.05,18161.25,18195.65,1527896197,21696.15
19-APR-2024,18042.8,18178.9,17833.55,18111.25,1500605740,19278.7
22-APR-2024,18265.75,18302.95,18205.05,18234.3,2517592399,22265.1
23-APR-2024,18342.45,18441.95,18308.8,18417.95,3681345728,27200.56
24-APR-2024,18513.05,18582.15,18493.45,18568.3,2498040139,27417.24
25-APR-2024,18578.15,18660.9,18507.3,18643.25,9339498103,36656.61
26-APR-2024,18699.2,18812.4,18689.3,18782.5,5067098355,33740.3
