"Index Name","Date","P/E","P/B","Div Yield %"
"NIFTY 50","10 May 2024","21.33","3.87","1.36"
"NIFTY 50","09 May 2024","21.26","3.85","1.21"
"NIFTY 50","08 May 2024","21.61","3.91","1.19"
"NIFTY 50","07 May 2024","21.61","3.91","1.19"
"NIFTY 50","06 May 2024","21.77","3.94","1.16"
"NIFTY 50","03 May 2024","21.87","3.94","1.16"
"NIFTY 50","02 May 2024","22.03","3.97","1.15"
"NIFTY 50","30 Apr 2024","22","3.96","1.16"
"NIFTY 50","29 Apr 2024","22.2","3.97","1.15"
"NIFTY 50","26 Apr 2024","22","3.93","1.19"
"NIFTY 50","25 Apr 2024","22.75","3.96","1.18"
"NIFTY 50","24 Apr 2024","22.58","3.93","1.19"
"NIFTY 50","23 Apr 2024","22.54","3.92","1.19"
"NIFTY 50","22 Apr 2024","22.78","3.92","1.19"
"NIFTY 50","19 Apr 2024","22.68","3.88","1.2"
"NIFTY 50","18 Apr 2024","22.53","3.86","1.21"
"NIFTY 50","16 Apr 2024","22.68","3.88","1.2"
"NIFTY 50","15 Apr 2024","22.82","3.91","1.2"
"NIFTY 50","12 Apr 2024","23.08","3.95","1.19"
"NIFTY 50","10 Apr 2024","23.32","4.01","1.18"
"NIFTY 50","09 Apr 2024","23.20","3.99","1.19"
"NIFTY 50","08 Apr 2024","23.23","4.00","1.18"
"NIFTY 50","05 Apr 2024","23.07","3.97","1.19"
"NIFTY 50","04 Apr 2024","23.07","3.97","1.19"
"NIFTY 50","03 Apr 2024","22.99","3.96","1.20"
"NIFTY 50","02 Apr 2024","23.01","3.96","1.20"
"NIFTY 50","01 Apr 2024","23.02","3.96","1.20"
"NIFTY 50","28 Mar 2024","22.88","3.94","1.20"
"NIFTY 50","27 Mar 2024","22.84","3.90","1.21"
"NIFTY 50","26 Mar 2024","22.72","3.87","1.22"
"NIFTY 50","22 Mar 2024","22.81","3.89","1.21"
"NIFTY 50","21 Mar 2024","22.73","3.88","1.22"
"NIFTY 50","20 Mar 2024","22.55","3.85","1.23"
"NIFTY 50","19 Mar 2024","22.52","3.84","1.23"
"NIFTY 50","18 Mar 2024","22.77","3.88","1.22"
"NIFTY 50","15 Mar 2024","22.74","3.88","1.22"
"NIFTY 50","14 Mar 2024","22.86","3.90","1.21"
"NIFTY 50","13 Mar 2024","22.71","3.87","1.22"
"NIFTY 50","12 Mar 2024","23.06","3.93","1.20"
